, Open, High, Low, Close
11/23/21, 5.5869, 5.6624, 5.5672, 5.5717
11/22/21, 5.6136, 5.6162, 5.5633, 5.5870
11/19/21, 5.5581, 5.6146, 5.5218, 5.6137
11/18/21, 5.5299, 5.5768, 5.5245, 5.5582
11/17/21, 5.5036, 5.5355, 5.4660, 5.5298
11/16/21, 5.4580, 5.5090, 5.4299, 5.5033
11/15/21, 5.4588, 5.4600, 5.4561, 5.4581
11/12/21, 5.3990, 5.4679, 5.3955, 5.4592
11/11/21, 5.5024, 5.5024, 5.3894, 5.3991
11/10/21, 5.4808, 5.5093, 5.4359, 5.4915
11/09/21, 5.5446, 5.5490, 5.4621, 5.4809
11/08/21, 5.5433, 5.5969, 5.5338, 5.5445
11/05/21, 5.6032, 5.6068, 5.5008, 5.5413
11/04/21, 5.5540, 5.6274, 5.5523, 5.6030
11/03/21, 5.6798, 5.6989, 5.5471, 5.5541
11/02/21, 5.6831, 5.6835, 5.6790, 5.6797
11/01/21, 5.6358, 5.6885, 5.6346, 5.6849
10/29/21, 5.6466, 5.6628, 5.5982, 5.6363
10/28/21, 5.5379, 5.6630, 5.5358, 5.6462
10/27/21, 5.5672, 5.5913, 5.5367, 5.5385
10/26/21, 5.5569, 5.6063, 5.5487, 5.5668
10/25/21, 5.6504, 5.6551, 5.5376, 5.5577
10/22/21, 5.6616, 5.7537, 5.6218, 5.6497
10/21/21, 5.5981, 5.6894, 5.5968, 5.6636
10/20/21, 5.5845, 5.6002, 5.5212, 5.5984
10/19/21, 5.5128, 5.6123, 5.5113, 5.5847
10/18/21, 5.4597, 5.5422, 5.4567, 5.5129
10/15/21, 5.5133, 5.5160, 5.4343, 5.4607
10/14/21, 5.5150, 5.5300, 5.4680, 5.5125
10/13/21, 5.5335, 5.5729, 5.5012, 5.5168
10/12/21, 5.5390, 5.5390, 5.5268, 5.5334
10/11/21, 5.5084, 5.5442, 5.4950, 5.5395
10/08/21, 5.5190, 5.5321, 5.4862, 5.5085
10/07/21, 5.4938, 5.5272, 5.4683, 5.5188
10/06/21, 5.4755, 5.5375, 5.4755, 5.4947
10/05/21, 5.4556, 5.4869, 5.4247, 5.4751
10/04/21, 5.3661, 5.4587, 5.3614, 5.4555
10/01/21, 5.4442, 5.4444, 5.3534, 5.3648
09/30/21, 5.4130, 5.4757, 5.3674, 5.4429
09/29/21, 5.4300, 5.4458, 5.3954, 5.4119
09/28/21, 5.3917, 5.4515, 5.3896, 5.4304
09/27/21, 5.3354, 5.3942, 5.3078, 5.3911
09/24/21, 5.3039, 5.3544, 5.3030, 5.3356
09/23/21, 5.2896, 5.3120, 5.2587, 5.3036
09/22/21, 5.2717, 5.3175, 5.2536, 5.2898
09/21/21, 5.3246, 5.3370, 5.2633, 5.2711
09/20/21, 5.2891, 5.3771, 5.2848, 5.3243
09/17/21, 5.2620, 5.3464, 5.2512, 5.2892
09/16/21, 5.2217, 5.2781, 5.2217, 5.2617
09/15/21, 5.2388, 5.2718, 5.2215, 5.2232
09/14/21, 5.2160, 5.2636, 5.2029, 5.2381
09/13/21, 5.2460, 5.2659, 5.2013, 5.2154
09/10/21, 5.1982, 5.2708, 5.1694, 5.2468
09/09/21, 5.3218, 5.3335, 5.1960, 5.1980
09/08/21, 5.1706, 5.3332, 5.1687, 5.3220
09/07/21, 5.1704, 5.1719, 5.1694, 5.1705
09/06/21, 5.1913, 5.2119, 5.1557, 5.1703
09/03/21, 5.1835, 5.2010, 5.1326, 5.1927
09/02/21, 5.1868, 5.2012, 5.1427, 5.1834
